date,meter,name
2020-10-31,15001,The Nameless Vikings
2020-10-31,3600,The Nameless Vikings
2020-10-31,5012,The Nameless Vikings
2020-10-31,10011,The Nameless Vikings
2020-10-31,2000,The Nameless Vikings
2020-10-31,5125,The Nameless Vikings
2020-10-31,5013,The Nameless Vikings
2020-10-31,5000,The Nameless Vikings
2020-10-31,2500,The Nameless Vikings
2020-10-31,2500,The Nameless Vikings
2020-10-31,21935,The Nameless Vikings
2020-11-01,5017,The Nameless Vikings
2020-11-01,5014,The Nameless Vikings
2020-11-01,4282,The Nameless Vikings
2020-11-01,4442,The Nameless Vikings
2020-11-01,5228,The Nameless Vikings
2020-11-01,5528,The Nameless Vikings
2020-11-01,5892,The Nameless Vikings
2020-11-01,10035,The Nameless Vikings
2020-11-01,20000,The Nameless Vikings
2020-11-01,6316,The Nameless Vikings
2020-11-01,15845,The Nameless Vikings
2020-11-01,5002,The Nameless Vikings
2020-11-01,5458,The Nameless Vikings
2020-11-01,15004,The Nameless Vikings
2020-11-01,3953,The Nameless Vikings
2020-11-01,6024,The Nameless Vikings
2020-11-01,9799,The Langturstyrmand
2020-11-01,8203,The Nameless Vikings
2020-11-02,5000,The Nameless Vikings
2020-11-02,1001,The Nameless Vikings
2020-11-02,4434,The Nameless Vikings
2020-11-02,5018,The Nameless Vikings
2020-11-02,6000,The Nameless Vikings
2020-11-02,6000,The Nameless Vikings
2020-11-02,6000,The Nameless Vikings
2020-11-02,15382,The Nameless Vikings
2020-11-02,33080,The Nameless Vikings
2020-11-02,9533,The Nameless Vikings
2020-11-02,8510,The Nameless Vikings
2020-11-02,6554,The Nameless Vikings
2020-11-03,5000,The Nameless Vikings
2020-11-03,3350,The Nameless Vikings
2020-11-03,17592,The Nameless Vikings
2020-11-03,15718,The Nameless Vikings
2020-11-03,13341,The Nameless Vikings
2020-11-03,5514,The Nameless Vikings
2020-11-03,7810,The Nameless Vikings
2020-11-03,6436,The Nameless Vikings
2020-11-03,6577,The Nameless Vikings
2020-11-03,6424,The Nameless Vikings
2020-11-03,6531,The Nameless Vikings
2020-11-04,6384,The Nameless Vikings
2020-11-04,13061,The Nameless Vikings
2020-11-04,5350,The Nameless Vikings
2020-11-04,15007,The Nameless Vikings
2020-11-04,9822,The Nameless Vikings
2020-11-04,6000,The Nameless Vikings
2020-11-05,3587,The Nameless Vikings
2020-11-05,6050,The Nameless Vikings
2020-11-05,8369,The Nameless Vikings
2020-11-05,14376,The Nameless Vikings
2020-11-05,5014,The Nameless Vikings
2020-11-05,11356,The Nameless Vikings
2020-11-05,11526,The Nameless Vikings
2020-11-05,8469,The Nameless Vikings
2020-11-05,3339,The Nameless Vikings
2020-11-05,6021,The Nameless Vikings
2020-11-05,8412,The Nameless Vikings
2020-11-05,7095,The Nameless Vikings
2020-11-05,5000,The Nameless Vikings
2020-11-06,5012,The Nameless Vikings
2020-11-06,6154,The Nameless Vikings
2020-11-06,6020,The Nameless Vikings
2020-11-06,8832,The Nameless Vikings
2020-11-06,11181,The Nameless Vikings
2020-11-06,12000,The Nameless Vikings
2020-11-06,14884,The Nameless Vikings
2020-11-06,10086,The Nameless Vikings
2020-11-06,10033,The Nameless Vikings
2020-11-06,9801,The Langturstyrmand
2020-11-06,16112,The Nameless Vikings
2020-11-06,2000,The Nameless Vikings
2020-11-06,7120,The Nameless Vikings
2020-11-06,13044,The Nameless Vikings
2020-11-07,5000,The Nameless Vikings
2020-11-07,8164,The Nameless Vikings
